Tanggal,Jam,Tanggal Jam,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data
21/01/2023 ,,,15937,1522083,619,177,1538816,81,796,166,0,10,786
22/01/2023 ,,,15939,1522186,613,162,1538900,84,775,103,0,8,767
23/01/2023 ,,,15939,1522288,556,162,1538945,45,718,102,0,3,715
24/01/2023 ,,,15940,1522374,542,151,1539007,62,693,86,0,2,691
25/01/2023 ,,,15941,1522427,576,150,1539094,87,726,53,0,2,724
26/01/2023 ,,,15941,1522544,562,144,1539191,97,706,117,0,4,702
27/01/2023 ,,,15941,1522655,515,144,1539255,64,659,111,0,4,655
28/01/2023 ,,,15941,1522740,507,137,1539325,70,644,85,0,2,642
29/01/2023 ,,,15942,1522817,497,132,1539388,63,629,77,0,0,629
30/01/2023 ,,,15942,1522903,489,122,1539456,68,611,86,0,1,610
31/01/2023 ,,,15942,1522973,509,129,1539553,97,638,70,0,7,631
01/02/2023 ,,,15942,1523015,531,145,1539633,80,676,42,0,19,657
02/02/2023 ,,,15942,1523068,595,129,1539734,101,724,53,0,16,708
03/02/2023 ,,,15944,1523178,540,134,1539796,62,674,110,0,5,669
04/02/2023 ,,,15946,1523262,523,126,1539857,61,649,84,0,3,646
05/02/2023 ,,,15946,1523334,504,124,1539908,51,628,72,0,3,625
06/02/2023 ,,,15947,1523440,463,127,1539977,69,590,106,0,6,584
07/02/2023 ,,,15948,1523491,611,127,1540177,200,738,51,0,5,733
08/02/2023 ,,,15949,1523556,634,128,1540267,90,762,65,0,4,758
09/02/2023 ,,,15949,1523659,633,114,1540355,88,747,103,0,5,742
10/02/2023 ,,,15950,1523757,645,107,1540459,104,752,98,0,2,750
11/02/2023 ,,,15951,1523850,643,107,1540551,92,750,93,0,2,748
12/02/2023 ,,,15952,1523936,633,106,1540627,76,739,86,0,1,738
13/02/2023 ,,,15952,1524010,628,110,1540700,73,738,74,0,1,737
